city,name,specialization,qualification,experience,satisfaction_rate,reviews,areas_of_interest,consultation_type,hospital_name,hospital_address,hospital_city,complete address,availability_schedule,fee,profile_url,image_url,raw_source_url
Sialkot,Asst. Prof. Dr. Syed Naveed Tahir,Chest Respiratory Specialist,"MBBS, FCPS Pulmonology",3 Yrs,100%,13,,Hospital,Idrees Hospital,Sadar Cantt,Sialkot,"Idrees Hospital, Sadar Cantt, Sialkot",Mon: 07:00 PM - 09:00 PM; Tue: 07:00 PM - 09:00 PM; Wed: 07:00 PM - 09:00 PM; Thu: 07:00 PM - 09:00 PM; Fri: 07:00 PM - 09:00 PM,1500,https://www.marham.pk/online-consultation/chest-respiratory-specialist/sialkot/asst-prof-dr-syed-naveed-tahir-62906,https://staticconnect.marham.pk/assets/doctors/62906/syed-naveed-tahir-chest-respiratory-specialist-sialkot-67_80X80.webp,https://www.marham.pk/doctors/chest-respiratory-specialist
Rawalpindi,Dr. Asma Ambreen,Chest Respiratory Specialist,"MBBS, FCPS Pulmonology, FCPS Medicine",11 Yrs,97%,84,,Video Consultation,Video Consultation,Garden Town,Rawalpindi,Video Consultation,Sat: 12:30 PM - 01:00 PM,"2,000",https://www.marham.pk/doctors/rawalpindi/chest-respiratory-specialist/dr-asma-ambreen,https://staticconnect.marham.pk/assets/doctors/18446/dr-asma-ambreen-chest-respiratory-specialist-rawalpindi-32_80X80.webp,https://www.marham.pk/doctors/chest-respiratory-specialist
Rawalpindi,Dr. Asma Ambreen,Chest Respiratory Specialist,"MBBS, FCPS Pulmonology, FCPS Medicine",11 Yrs,97%,84,,Hospital,Fauji Foundation Hospital,Islamabad,Rawalpindi,"Fauji Foundation Hospital, Islamabad, Rawalpindi",Thu: 11:00 AM - 02:00 PM,1500,https://www.marham.pk/doctors/rawalpindi/chest-respiratory-specialist/dr-asma-ambreen,https://staticconnect.marham.pk/assets/doctors/18446/dr-asma-ambreen-chest-respiratory-specialist-rawalpindi-32_80X80.webp,https://www.marham.pk/doctors/chest-respiratory-specialist
Quetta,Dr. Tahir Aslam,"Chest Surgeon, General Surgeon, Thoracic Surgeon","MBBS, FCPS (General Surgery), FCPS (Thoracic Surgery)",6 Yrs,100%,20,,Video Consultation,Video Consultation,Garden Town,Quetta,Video Consultation,Fri: 06:00 PM - 09:00 PM,"1,000",https://www.marham.pk/doctors/quetta/chest-surgeon/dr-tahir-aslam,https://staticconnect.marham.pk/assets/doctors/25886/dr-tahir-aslam-chest-surgeon-quetta-57_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Quetta,Dr. Tahir Aslam,"Chest Surgeon, General Surgeon, Thoracic Surgeon","MBBS, FCPS (General Surgery), FCPS (Thoracic Surgery)",6 Yrs,100%,20,,Hospital,Akram Hospital,Quetta City,Quetta,"Akram Hospital, Quetta City, Quetta",Mon: 06:00 PM - 09:00 PM; Tue: 06:00 PM - 09:00 PM; Wed: 06:00 PM - 09:00 PM; Thu: 06:00 PM - 09:00 PM; Fri: 06:00 PM - 09:00 PM,1500,https://www.marham.pk/doctors/quetta/chest-surgeon/dr-tahir-aslam,https://staticconnect.marham.pk/assets/doctors/25886/dr-tahir-aslam-chest-surgeon-quetta-57_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Islamabad,Dr. Tashfeen Imtiaz,"General Surgeon, Chest Surgeon","MBBS, FCPS (Thoracic Surgery), FCPS (Surgery)",10 Yrs,99%,71,"Thoracic Surgery, General Surgery, Lung Surgery, Chest Surgery",Hospital,Maxhealth Hospital,"12-K Markaz Rd, G-8",Islamabad,"Maxhealth Hospital, 12-K Markaz Rd, G-8, Islamabad",Mon: 07:00 PM - 08:00 PM; Tue: 07:00 PM - 08:00 PM; Wed: 07:00 PM - 08:00 PM; Thu: 07:00 PM - 08:00 PM,2000,https://www.marham.pk/doctors/islamabad/general-surgeon/dr-tashfeen-imtiaz,https://staticconnect.marham.pk/assets/doctors/13044/dr-tashfeen-imtiaz-general-surgeon-islamabad-12_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Muhammad Shoaib Lodro,Chest Surgeon,"MBBS, FCPS Thoracic Surgery",6 Yrs,100%,4,"Water In Lungs, Lungs Deflation, Bronchoscopy",Hospital,NCCI Hospital,Saddar,Karachi,"NCCI Hospital, Saddar, Karachi",Mon: 04:00 PM - 07:00 PM; Tue: 04:00 PM - 07:00 PM; Wed: 04:00 PM - 07:00 PM; Thu: 04:00 PM - 07:00 PM; Fri: 04:00 PM - 07:00 PM; Sat: 04:00 PM - 07:00 PM,2000,https://www.marham.pk/doctors/karachi/chest-surgeon/dr-muhammad-shoaib-lodro,https://staticconnect.marham.pk/assets/doctors/64263/dr-muhammad-shoaib-lodro-chest-surgeon-karachi-78_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Nazish Sikander,"Chest Surgeon, Thoracic Surgeon","MBBS, FCPS (Thoracic Surgery)",5 Yrs,,,,Video Consultation,Video Consultation,Garden Town,Karachi,Video Consultation,Wed: 06:00 PM - 07:00 PM; Fri: 06:00 PM - 07:00 PM,"1,500",https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-nazish-sikander-36960,https://staticconnect.marham.pk/assets/doctors/36960/dr-nazish-sikander-chest-surgeon-karachi-74_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Nazish Sikander,"Chest Surgeon, Thoracic Surgeon","MBBS, FCPS (Thoracic Surgery)",5 Yrs,,,,Hospital,Mamji Hospital,F.B Area,Karachi,"Mamji Hospital, F.B Area, Karachi",Tue: 04:30 PM - 06:00 PM; Thu: 04:30 PM - 06:00 PM,2000,https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-nazish-sikander-36960,https://staticconnect.marham.pk/assets/doctors/36960/dr-nazish-sikander-chest-surgeon-karachi-74_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Nazish Sikander,"Chest Surgeon, Thoracic Surgeon","MBBS, FCPS (Thoracic Surgery)",5 Yrs,,,,Hospital,South City Hospital,Clifton,Karachi,"South City Hospital, Clifton, Karachi",Mon: 03:00 PM - 06:00 PM,5000,https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-nazish-sikander-36960,https://staticconnect.marham.pk/assets/doctors/36960/dr-nazish-sikander-chest-surgeon-karachi-74_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Rawalpindi,Dr. Muhammad Imran Qureshi,Chest Surgeon,"MBBS, FCPS (Thoracic Surgery)",15 Yrs,100%,18,,Video Consultation,Video Consultation,Garden Town,Rawalpindi,Video Consultation,Mon: 09:00 AM - 05:00 PM; Tue: 09:00 AM - 05:00 PM; Wed: 09:00 AM - 05:00 PM; Thu: 09:00 AM - 05:00 PM; Fri: 09:00 AM - 05:00 PM; Sat: 09:00 AM - 05:00 PM,"1,000",https://www.marham.pk/doctors/rawalpindi/chest-surgeon/dr-muhammad-imran-qureshi,https://staticconnect.marham.pk/assets/doctors/13923/dr-muhammad-imran-chest-surgeon-rawalpindi-14_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Rawalpindi,Dr. Muhammad Imran Qureshi,Chest Surgeon,"MBBS, FCPS (Thoracic Surgery)",15 Yrs,100%,18,,Hospital,Fauji Foundation Hospital,Islamabad,Rawalpindi,"Fauji Foundation Hospital, Islamabad, Rawalpindi",Mon: 08:00 AM - 01:00 PM; Tue: 08:00 AM - 01:00 PM; Wed: 08:00 AM - 01:00 PM; Thu: 08:00 AM - 01:00 PM; Fri: 08:00 AM - 01:00 PM; Sat: 08:00 AM - 01:00 PM,2000,https://www.marham.pk/doctors/rawalpindi/chest-surgeon/dr-muhammad-imran-qureshi,https://staticconnect.marham.pk/assets/doctors/13923/dr-muhammad-imran-chest-surgeon-rawalpindi-14_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Syed Azfar Husain,"Chest Surgeon, General Physician, Family Medicine","MBBS, FCPS (Thorasic Surgery)",35 Yrs,75%,3,,Video Consultation,Video Consultation,Garden Town,Karachi,Video Consultation,Mon: 10:00 AM - 09:00 PM; Tue: 10:00 AM - 09:00 PM; Wed: 10:00 AM - 09:00 PM; Thu: 10:00 AM - 09:00 PM; Fri: 10:00 AM - 09:00 PM; Sat: 10:00 AM - 09:00 PM,"2,000",https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-syed-azfar-husain-20741,https://staticconnect.marham.pk/assets/doctors/20741/dr-syed-azfar-husain-chest-surgeon-karachi-18_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Lahore,Dr. Ahmad Ali,"Chest Surgeon, Laparoscopic Surgeon, Chest Surgeon","MBBS, FCPS (Thoracic Surgery)",10 Yrs,100%,6,"Chest Wall, Breast, Mediastinum And Diaphragm Surgery, ADVANCE VATS SURGEON",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 02:00 PM - 05:00 PM; Tue: 02:00 PM - 05:00 PM; Wed: 02:00 PM - 05:00 PM; Thu: 02:00 PM - 05:00 PM; Fri: 02:00 PM - 05:00 PM,"3,000",https://www.marham.pk/online-consultation/chest-surgeon/lahore/dr-ahmad-ali-25296,https://staticconnect.marham.pk/assets/doctors/25296/dr-ahmad-ali-chest-surgeon-lahore-74_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Lahore,Dr. Ahmad Ali,"Chest Surgeon, Laparoscopic Surgeon, Chest Surgeon","MBBS, FCPS (Thoracic Surgery)",10 Yrs,100%,6,"Chest Wall, Breast, Mediastinum And Diaphragm Surgery, ADVANCE VATS SURGEON",Hospital,Hameed Latif Hospital,Garden Town,Lahore,"Hameed Latif Hospital, Garden Town, Lahore",Mon: 02:00 PM - 05:00 PM; Tue: 02:00 PM - 05:00 PM; Wed: 02:00 PM - 05:00 PM; Thu: 02:00 PM - 05:00 PM; Fri: 02:00 PM - 05:00 PM,3000,https://www.marham.pk/online-consultation/chest-surgeon/lahore/dr-ahmad-ali-25296,https://staticconnect.marham.pk/assets/doctors/25296/dr-ahmad-ali-chest-surgeon-lahore-74_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Rahim Yar Khan,Dr. Usama Zafar,Chest Surgeon,"MBBDS , FCPS (Thoracic Surgery)",7 Yrs,80%,5,,Video Consultation,Video Consultation,Garden Town,Rahim Yar Khan,Video Consultation,Mon: 02:30 PM - 11:00 PM; Tue: 02:30 PM - 11:00 PM; Wed: 02:30 PM - 11:00 PM; Thu: 02:30 PM - 11:00 PM; Fri: 02:30 PM - 11:00 PM; Sat: 02:30 PM - 11:00 PM; Sun: 02:30 PM - 11:00 PM,"1,500",https://www.marham.pk/online-consultation/chest-surgeon/rahim-yar-khan/dr-usama-zafar-25500,https://static.marham.pk/assets/images/doctor-photo-male-8080.webp,https://www.marham.pk/doctors/chest-surgeon
Lahore,Muhammad Farooq Khalid,"Chest Surgeon, Thoracic Surgeon","MD, MS (Thoracic surgery)",10 Yrs,100%,5,"PLEURAL EFFUSION, Mediastinal Surgeries, LUNG CANCER, VATS AND LUNGS SURGERY",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 06:30 PM - 10:00 PM; Tue: 06:30 PM - 10:00 PM; Wed: 06:30 PM - 10:00 PM; Thu: 06:30 PM - 10:00 PM; Fri: 06:30 PM - 10:00 PM; Sat: 06:30 PM - 10:00 PM; Sun: 06:30 PM - 10:00 PM,"2,000",https://www.marham.pk/online-consultation/chest-surgeon/lahore/muhammad-farooq-khalid-25744,https://staticconnect.marham.pk/assets/doctors/25744/dr-muhammad-farooq-khalid-chest-surgeon-lahore-70_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Gujranwala,Muhammad Farooq Khalid,"Chest Surgeon, Thoracic Surgeon","MD, MS (Thoracic surgery)",10 Yrs,100%,5,"PLEURAL EFFUSION, Mediastinal Surgeries, LUNG CANCER, VATS AND LUNGS SURGERY",Hospital,Care and Cure Hospital,Pakistan,Gujranwala,"Care and Cure Hospital, Pakistan, Gujranwala",Mon: 06:00 PM - 08:00 PM; Tue: 06:00 PM - 08:00 PM; Wed: 06:00 PM - 08:00 PM; Thu: 06:00 PM - 08:00 PM; Fri: 06:00 PM - 08:00 PM; Sat: 06:00 PM - 08:00 PM,2000,https://www.marham.pk/online-consultation/chest-surgeon/lahore/muhammad-farooq-khalid-25744,https://staticconnect.marham.pk/assets/doctors/25744/dr-muhammad-farooq-khalid-chest-surgeon-lahore-70_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Gujranwala,Muhammad Farooq Khalid,"Chest Surgeon, Thoracic Surgeon","MD, MS (Thoracic surgery)",10 Yrs,100%,5,"PLEURAL EFFUSION, Mediastinal Surgeries, LUNG CANCER, VATS AND LUNGS SURGERY",Hospital,Care & Cure Hospital,Civil Lines,Gujranwala,"Care & Cure Hospital, Civil Lines, Gujranwala",Mon: 06:00 PM - 08:00 PM; Tue: 06:00 PM - 08:00 PM; Wed: 06:00 PM - 08:00 PM; Thu: 06:00 PM - 08:00 PM; Fri: 06:00 PM - 08:00 PM; Sat: 06:00 PM - 08:00 PM,2000,https://www.marham.pk/online-consultation/chest-surgeon/lahore/muhammad-farooq-khalid-25744,https://staticconnect.marham.pk/assets/doctors/25744/dr-muhammad-farooq-khalid-chest-surgeon-lahore-70_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Rafay Shamshad,Chest Surgeon,"MBBS , FCPS",10 Yrs,,1,,Video Consultation,Video Consultation,Garden Town,Karachi,Video Consultation,Mon: 10:14 AM - 09:30 PM; Tue: 10:14 AM - 09:30 PM; Wed: 10:14 AM - 09:30 PM; Thu: 10:14 AM - 09:30 PM; Fri: 10:14 AM - 09:30 PM; Sat: 10:14 AM - 09:30 PM,"1,500",https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-rafay-shamshad-26170,https://staticconnect.marham.pk/assets/doctors/26170/dr-rafay-shamshad-chest-surgeon-karachi-9_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Multan,Dr. Muhammad Hassan Shabbir,"Laparoscopic Surgeon, Chest Surgeon","MBBS , FCPS , (General Surgery) , Fellowship In Thoracic Surgery",9 Yrs,100%,3,,Video Consultation,Video Consultation,Garden Town,Multan,Video Consultation,Fri: 07:00 PM - 08:00 PM,"1,200",https://www.marham.pk/doctors/multan/laproscopic-surgeon/dr-muhammad-hassan-shabbir,https://staticconnect.marham.pk/assets/doctors/28722/dr-muhammad-hassan-shabbir-general-surgeon-multan-5_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Multan,Dr. Muhammad Hassan Shabbir,"Laparoscopic Surgeon, Chest Surgeon","MBBS , FCPS , (General Surgery) , Fellowship In Thoracic Surgery",9 Yrs,100%,3,,Hospital,Royal healthcare,Gulshan Market,Multan,"Royal healthcare, Gulshan Market, Multan",Mon: 07:00 PM - 10:00 PM; Tue: 07:00 PM - 10:00 PM; Wed: 07:00 PM - 10:00 PM; Thu: 07:00 PM - 10:00 PM; Fri: 07:00 PM - 10:00 PM,1200,https://www.marham.pk/doctors/multan/laproscopic-surgeon/dr-muhammad-hassan-shabbir,https://staticconnect.marham.pk/assets/doctors/28722/dr-muhammad-hassan-shabbir-general-surgeon-multan-5_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Ambreen Abid,Chest Surgeon,"MBBS, FCPS (Thoracic Surgery)",6 Yrs,,,,Video Consultation,Video Consultation,Garden Town,Karachi,Video Consultation,Mon: 07:00 PM - 09:00 PM; Tue: 07:00 PM - 09:00 PM; Wed: 07:00 PM - 09:00 PM; Thu: 07:00 PM - 09:00 PM; Fri: 07:00 PM - 09:00 PM; Sat: 07:00 PM - 09:00 PM,"1,500",https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-ambreen-abid-35019,https://staticconnect.marham.pk/assets/doctors/35019/ambreen-abid-chest-surgeon-karachi-10_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Ambreen Abid,Chest Surgeon,"MBBS, FCPS (Thoracic Surgery)",6 Yrs,,,,Hospital,Imam Clinic,North Nazimabad,Karachi,"Imam Clinic, North Nazimabad, Karachi",Mon: 03:00 PM - 04:00 PM; Wed: 03:00 PM - 04:00 PM,2000,https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-ambreen-abid-35019,https://staticconnect.marham.pk/assets/doctors/35019/ambreen-abid-chest-surgeon-karachi-10_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Ambreen Abid,Chest Surgeon,"MBBS, FCPS (Thoracic Surgery)",6 Yrs,,,,Hospital,Altamash General Hospital,Clifton,Karachi,"Altamash General Hospital, Clifton, Karachi",Tue: 03:00 PM - 04:00 PM; Thu: 03:00 PM - 04:00 PM,2000,https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-ambreen-abid-35019,https://staticconnect.marham.pk/assets/doctors/35019/ambreen-abid-chest-surgeon-karachi-10_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Ambreen Abid,Chest Surgeon,"MBBS, FCPS (Thoracic Surgery)",6 Yrs,,,,Hospital,Midciti Hospital,Gulshan-e-Iqbal,Karachi,"Midciti Hospital, Gulshan-e-Iqbal, Karachi",Fri: 03:30 PM - 04:30 PM; Sat: 03:30 PM - 04:30 PM,2000,https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-ambreen-abid-35019,https://staticconnect.marham.pk/assets/doctors/35019/ambreen-abid-chest-surgeon-karachi-10_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Karachi,Dr. Ambreen Abid,Chest Surgeon,"MBBS, FCPS (Thoracic Surgery)",6 Yrs,,,,Hospital,Hillpark General Hospital,Bahadarabad,Karachi,"Hillpark General Hospital, Bahadarabad, Karachi",Tue: 05:00 PM - 06:00 PM; Thu: 05:00 PM - 06:00 PM,1500,https://www.marham.pk/online-consultation/chest-surgeon/karachi/dr-ambreen-abid-35019,https://staticconnect.marham.pk/assets/doctors/35019/ambreen-abid-chest-surgeon-karachi-10_80X80.webp,https://www.marham.pk/doctors/chest-surgeon
Lahore,Dr. Nisar Khan,Child and Adolescent Psychiatrist,"MBBS, Diplomate Irish Board of Psychiatry",35 Yrs,,,"Medicine, Psychiatry, Adult Psychiatry, Child And Adolescent, Drug Addiction, Sexual Disorders Etc Etc",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 12:00 PM - 08:00 PM; Tue: 12:00 PM - 08:00 PM; Wed: 12:00 PM - 08:00 PM; Thu: 12:00 PM - 08:00 PM; Fri: 12:00 PM - 08:00 PM; Sat: 12:00 PM - 08:00 PM; Sun: 12:00 PM - 08:00 PM,"3,000",https://www.marham.pk/doctors/lahore/child-and-adolescent-psychiatrist/dr-nisar-khan,https://staticconnect.marham.pk/assets/doctors/68529/dr-nisar-khan-child-and-adolescent-psychiatrist-lahore-3_80X80.webp,https://www.marham.pk/doctors/child-and-adolescent-psychiatrist
Lahore,Dr. Nisar Khan,Child and Adolescent Psychiatrist,"MBBS, Diplomate Irish Board of Psychiatry",35 Yrs,,,"Medicine, Psychiatry, Adult Psychiatry, Child And Adolescent, Drug Addiction, Sexual Disorders Etc Etc",Hospital,MD Health Center,DHA Phase 6,Lahore,"MD Health Center, DHA Phase 6, Lahore",Mon: 05:00 PM - 08:00 PM; Wed: 05:00 PM - 08:00 PM; Sat: 05:00 PM - 08:00 PM,5000,https://www.marham.pk/doctors/lahore/child-and-adolescent-psychiatrist/dr-nisar-khan,https://staticconnect.marham.pk/assets/doctors/68529/dr-nisar-khan-child-and-adolescent-psychiatrist-lahore-3_80X80.webp,https://www.marham.pk/doctors/child-and-adolescent-psychiatrist
Lahore,Muhammad Danial Sohail,"Psychologist, Sexologist, Counselor, Child Psychologist","M.Phil. (Psychology) , C.I.S. (UK) , C.M.T.O. (Sri Lanka) , C.T.O.F. (UK) , C.L.D.P. (UAE) , RHMP (Pak) , DIP (Sexology)",17 Yrs,99%,"1,258","Anxiety, Drug Addicts, Family Problems, Confidence, Family Problem, Personality Issues, Behavioral Issues, Adult Psychology, Child Psychology, Family Counseling, Couple Therapy, Anxiety Disorder, Psycho Sexual Disorders, Childhood Behavioral Issue, Family Counseling, Couple Counseling, Teaching And Training Of Psychiatric Illness, Anger Management, Stress Management, Psycho-sexology",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 11:00 AM - 11:00 PM; Tue: 11:00 AM - 11:00 PM; Wed: 11:00 AM - 11:00 PM; Thu: 11:00 AM - 11:00 PM; Fri: 11:00 AM - 11:00 PM; Sat: 11:00 AM - 11:00 PM; Sun: 11:00 AM - 11:00 PM,"3,000",https://www.marham.pk/online-consultation/psychologist/lahore/muhammad-danial-sohail-21334,https://staticconnect.marham.pk/assets/doctors/21334/danial-sohail-psychologist-lahore-27_80X80.webp,https://www.marham.pk/doctors/child-psychologist
Lahore,Muhammad Danial Sohail,"Psychologist, Sexologist, Counselor, Child Psychologist","M.Phil. (Psychology) , C.I.S. (UK) , C.M.T.O. (Sri Lanka) , C.T.O.F. (UK) , C.L.D.P. (UAE) , RHMP (Pak) , DIP (Sexology)",17 Yrs,99%,"1,258","Anxiety, Drug Addicts, Family Problems, Confidence, Family Problem, Personality Issues, Behavioral Issues, Adult Psychology, Child Psychology, Family Counseling, Couple Therapy, Anxiety Disorder, Psycho Sexual Disorders, Childhood Behavioral Issue, Family Counseling, Couple Counseling, Teaching And Training Of Psychiatric Illness, Anger Management, Stress Management, Psycho-sexology",Hospital,counselordanial.com,Shadman 2,Lahore,"counselordanial.com, Shadman 2, Lahore",Tue: 05:00 PM - 09:00 PM; Wed: 05:00 PM - 09:00 PM; Thu: 05:00 PM - 09:00 PM; Fri: 05:00 PM - 09:00 PM,7000,https://www.marham.pk/online-consultation/psychologist/lahore/muhammad-danial-sohail-21334,https://staticconnect.marham.pk/assets/doctors/21334/danial-sohail-psychologist-lahore-27_80X80.webp,https://www.marham.pk/doctors/child-psychologist
Peshawar,Gul Sanam,Child Psychologist,"MS, PDCP, CPH, NLP, SLP, Psy.D",6 Yrs,96%,62,,Video Consultation,Video Consultation,Garden Town,Peshawar,Video Consultation,Mon: 02:00 PM - 08:00 PM; Tue: 02:00 PM - 08:00 PM; Wed: 02:00 PM - 08:00 PM; Thu: 02:00 PM - 08:00 PM; Fri: 02:00 PM - 08:00 PM,"1,500",https://www.marham.pk/doctors/peshawar/child-psychologist/gul-sanam,https://staticconnect.marham.pk/assets/doctors/14338/ms-gul-sanam-psychologist-peshawar-1_80X80.webp,https://www.marham.pk/doctors/child-psychologist
Peshawar,Gul Sanam,Child Psychologist,"MS, PDCP, CPH, NLP, SLP, Psy.D",6 Yrs,96%,62,,Hospital,Franklin system,Rahatabad,Peshawar,"Franklin system, Rahatabad, Peshawar",Mon: 10:00 AM - 04:00 PM; Tue: 10:00 AM - 04:00 PM; Wed: 10:00 AM - 04:00 PM; Thu: 10:00 AM - 04:00 PM; Fri: 10:00 AM - 04:00 PM; Sat: 10:00 AM - 04:00 PM,1000,https://www.marham.pk/doctors/peshawar/child-psychologist/gul-sanam,https://staticconnect.marham.pk/assets/doctors/14338/ms-gul-sanam-psychologist-peshawar-1_80X80.webp,https://www.marham.pk/doctors/child-psychologist
Lahore,Ms. Sumaira,"Child Psychologist, Speech Therapist","M.Sc Psychology, M.Phill Special Education, ADCP (Advanced Diploma in Clinical Psychology), Child Psychologist",18 Yrs,95%,78,,Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 05:00 PM - 11:00 PM; Tue: 05:00 PM - 11:00 PM; Wed: 05:00 PM - 11:00 PM; Thu: 05:00 PM - 11:00 PM; Fri: 05:00 PM - 11:00 PM; Sat: 05:00 PM - 11:00 PM,"5,000",https://www.marham.pk/doctors/lahore/child-psychologist/ms-sumaira,https://static.marham.pk/assets/images/doctor-photo-female-8080.webp,https://www.marham.pk/doctors/child-psychologist
Lahore,Ms. Sumaira,"Child Psychologist, Speech Therapist","M.Sc Psychology, M.Phill Special Education, ADCP (Advanced Diploma in Clinical Psychology), Child Psychologist",18 Yrs,95%,78,,Hospital,Chughtai Medical Center Johar Town,Johar Town,Lahore,"Chughtai Medical Center Johar Town, Johar Town, Lahore",Sat: 03:00 PM - 09:00 PM,4000,https://www.marham.pk/doctors/lahore/child-psychologist/ms-sumaira,https://static.marham.pk/assets/images/doctor-photo-female-8080.webp,https://www.marham.pk/doctors/child-psychologist
Lahore,Ms. Sumaira,"Child Psychologist, Speech Therapist","M.Sc Psychology, M.Phill Special Education, ADCP (Advanced Diploma in Clinical Psychology), Child Psychologist",18 Yrs,95%,78,,Hospital,Omc Hospital,Jail Road,Lahore,"Omc Hospital, Jail Road, Lahore",Mon: 05:00 PM - 08:00 PM; Tue: 05:00 PM - 08:00 PM; Wed: 05:00 PM - 08:00 PM; Thu: 05:00 PM - 08:00 PM; Fri: 05:00 PM - 08:00 PM,4000,https://www.marham.pk/doctors/lahore/child-psychologist/ms-sumaira,https://static.marham.pk/assets/images/doctor-photo-female-8080.webp,https://www.marham.pk/doctors/child-psychologist
Lahore,Ms. Sumaira,"Child Psychologist, Speech Therapist","M.Sc Psychology, M.Phill Special Education, ADCP (Advanced Diploma in Clinical Psychology), Child Psychologist",18 Yrs,95%,78,,Hospital,Chughtai Medical Centre / Lab,DHA Phase 6,Lahore,"Chughtai Medical Centre / Lab, DHA Phase 6, Lahore",Sat: 04:00 PM - 09:00 PM; Sun: 04:00 PM - 09:00 PM,4000,https://www.marham.pk/doctors/lahore/child-psychologist/ms-sumaira,https://static.marham.pk/assets/images/doctor-photo-female-8080.webp,https://www.marham.pk/doctors/child-psychologist
Lahore,Hashim Abbas,Child Psychologist,"BS Hons Clinical Psychology, MS Clinical Psychology",4 Yrs,98%,45,"Depression, Anxiety, Family Problems, Confidence",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 09:00 AM - 11:59 PM; Tue: 09:00 AM - 11:59 PM; Wed: 09:00 AM - 11:59 PM; Thu: 09:00 AM - 11:59 PM; Fri: 09:00 AM - 11:59 PM; Sat: 09:00 AM - 11:59 PM; Sun: 09:00 AM - 11:59 PM,"1,500",https://www.marham.pk/doctors/lahore/child-psychologist/hashim-abbas,https://staticconnect.marham.pk/assets/doctors/61108/hashim-abbas-child-psychologist-lahore-85_80X80.webp,https://www.marham.pk/doctors/child-psychologist
Lahore,Hashim Abbas,Child Psychologist,"BS Hons Clinical Psychology, MS Clinical Psychology",4 Yrs,98%,45,"Depression, Anxiety, Family Problems, Confidence",Hospital,Saira Memorial Hospital,Model Town,Lahore,"Saira Memorial Hospital, Model Town, Lahore",Mon: 05:00 PM - 11:00 PM; Tue: 05:00 PM - 11:00 PM; Wed: 05:00 PM - 11:00 PM; Thu: 05:00 PM - 11:00 PM; Fri: 05:00 PM - 11:00 PM; Sat: 05:00 PM - 11:00 PM; Sun: 05:00 PM - 11:00 PM,3000,https://www.marham.pk/doctors/lahore/child-psychologist/hashim-abbas,https://staticconnect.marham.pk/assets/doctors/61108/hashim-abbas-child-psychologist-lahore-85_80X80.webp,https://www.marham.pk/doctors/child-psychologist
